S.No.,Platform,Past Status,Commited,Drafted,Published,Content Created,Platform Category,Primary Content Types
,Website,Already in Place,--,--,--,,Digital Identity,
1,Website- blogs,0,400,30,,Link,Professional Writing,"Long-form Articles, Thought Leadership"
2,Website Downloadable,0,15,,,,Informational Content,"Infographics, Product related, knowledge articles"
3,Google Business,Not Available,30,1,,Link,Local Business,"Business Info, Reviews, Local Posts"
4,Linkedin,Active,30,5,,Link,Professional Network,"Articles, Company Updates, Industry News"
5,YouTube,Not Active,15,1,,Link,Long-Form Video,"Long Videos, Tutorials, Vlogs"
6,Tiktok,Not Active,15,,,Link,Short-Form Video,"Short Videos, Challenges, Trends"
7,Instagram,Active,30,1,,,Visual Content,"Images, Stories, Reels, IGTV"
8,PinInterest,Not Active,30,,,,Visual Content,"Infographics, Product Images, Boards"
9,X (Twitter),Not Active,30,1,,Link,Real-Time Social,"Real-time Updates, News, Discussions"
10,Facebook,Not Active,30,,,,Social Community,"Mixed Content, Community Posts, Events"
11,Medium,Not Active,30,,,,Professional Writing,"Long-form Articles, Thought Leadership"
12,Tumblr,Not Active,30,,,,Creative Blogging,"Creative Content, GIFs, Art"
13,Threads,Not Active,30,,,,Micro-Blogging,"Short Posts, Real-time Updates"
14,Quora,Not Active,30,,,,Q&A Content,"Expert Answers, Industry Knowledge"
15,Reddit,Not Active,30,,,,Discussion Forum,"Discussion Posts, AMAs, Community Content"
16,Blue Sky,Not Active,30,,,,Social Community,"Mixed Content, Community Posts, Events"
17,Email Marketing,Not Active,6,,,,Direct Marketing,"Newsletters, Campaigns, Automated Sequences"
